codigo,detalle_url,item,principio_activo,forma_farmaceutica,concentracion,presentacion_comercial,estado,presupuesto,provincia,canton,fecha_publicacion
SICM-676-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Cp96liVlojtQCx2hLp0YIZMOag6djMNxrSMt_awjlXQ,","DCI: FLUMAZENIL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN:0,1 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 5 ML",Flumazenil,Líquido Parenteral,,Caja X Ampolla-S- X 5 Ml,Adjudicado otros oferentes,3.1961,Pichincha , Quito,2022-08-15 08:00:00
SICM-678-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NJPbxYk7S_IV5E_Zk0S88WTtl35N5DAGHaLpUOTouEs,",DCI: DEFERASIROX - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Deferasirox,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,5.51051,Pichincha , Quito,2022-08-15 08:00:00
SICM-619-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VHbRYmCxiGuhF0CEaYMeF_Y82buLoAdfDeYyW45ls4o,","DCI: LEVOTIROXINA SÓDICA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MCG -0,05 MG- PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Levotiroxina Sódica,Sólido Oral,"50 MCG -0,05 MG- PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Caja X Blíster/Ristra,Adjudicado oferente ganador,0.02204,Pichincha , Quito,2022-08-11 08:00:00
SICM-621-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=d3Ad5xylFrlFYzDYwBmYPNGE6lubRvWHQS4N5RrX5_g,",DCI: AMOXICILINA - FORMA FARMACÉUTICA: SÓLIDO ORAL -POLVO- CONCENTRACIÓN: 250 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO PARA RECONSTITUIR A 100 ML MÍNIMO CON DOSIFICADOR,Amoxicilina,Sólido Oral -Polvo- Concentración: 250 Mg/5 Ml - Presentación Comercial: Caja X Frasco Para Reconstituir A 100 Ml Mínimo Con Dosificador,250 MG/5 ML,Caja X Frasco Para Reconstituir A 100 Ml Mínimo Con Dosificador,Adjudicado otros oferentes,1.0,Pichincha , Quito,2022-08-11 08:00:00
SICM-625-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=WWjcBdp4DCaMg46JGJ2cZsgQ0ThqlVZ-zZoS8ws_HgY,",DCI: VANCOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES,Vancomicina,Sólido Parenteral,500 MG,Caja X Vial-Es,Adjudicado oferente ganador,1.43273,Pichincha , Quito,2022-08-11 08:00:00
SICM-632-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=h6Ht3L5Jo2ZKIrfSnfwCCVFnBuBhgMBKh-6YOzTqX_o,",DCI: CAPECITABINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Capecitabina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.43,Pichincha , Quito,2022-08-11 08:00:00
SICM-589-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=JHkYXB52y4iCVNlwkPJW4oGRJjpZuqBju1ydNNlDdNE,","DCI: SALES DE REHIDRATACIÓN ORAL: GLUCOSA - CLORURO DE SODIO- CLORURO DE POTASIO - CITRATO TRISÓDICO DIHIDRATO - FORMA FARMACÉUTICA: SÓLIDO ORAL POLVO - CONCENTRACIÓN:* 13,5 G/L - 20 G/L* 2,6 G/L – 3,5 G/L* 1,5 G/L* 2,9 G/L - PRESENTACIÓN COMERCIAL: CAJA X SOBRES/SACHETS",Sales De Rehidratación Oral,Sólido Oral Polvo,,Caja X Sobres/Sachets,Adjudicado oferente ganador,0.25,Pichincha , Quito,2022-08-10 08:00:00
SICM-593-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=iRKRzxz-dh-Qljp_1sw7nxpG-GoSZOOxQgNwJFnl1OM,",DCI: ENOXAPARINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 2 000 UI 20 MG - PRESENTACIÓN COMERCIAL: CAJA X JERINGA-S- PRELLENADAS,Enoxaparina,Líquido Parenteral,2 000 UI 20 MG,Caja X Jeringa-S- Prellenadas,Adjudicado oferente ganador,1.89,Pichincha , Quito,2022-08-10 08:00:00
SICM-594-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=FD_CdFx2MfGJWKkWKRX0eN8YuoxOWz7eocArMKlO8TQ,",DCI: ENOXAPARINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 8 000 UI 80 MG - PRESENTACIÓN COMERCIAL: CAJA X JERINGA-S- PRELLENADA -S-,Enoxaparina,Líquido Parenteral,8 000 UI 80 MG,Caja X Jeringa-S- Prellenada -S-,Adjudicado oferente ganador,7.05346,Pichincha , Quito,2022-08-10 08:00:00
SICM-595-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=GVKVoMiDD_hnEIJIfuoN_azgQsQ_QVwvcnZlvPgrvwk,",DCI: CLOPIDOGREL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Clopidogrel,Sólido Oral,300 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,2.20421,Pichincha , Quito,2022-08-10 08:00:00
SICM-596-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ZFahZkJhos0FK5sSoUNni6Yb3BdWgpEErQExVODApv4,",DCI: ÁCIDO TRANEXÁMICO - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Ácido Tranexámico,,500 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.5192,Pichincha , Quito,2022-08-10 08:00:00
SICM-602-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=bcyFK8bFUUsgyWcdDAcoR4UUK1lnsYCvQUqrMX7-vkc,",DCI: ERITROPOYETINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 5 000 UI - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- + DISOLVENTE - CAJA X JERINGA-S- PRELLENADA-S-,Eritropoyetina,Líquido Parenteral / Sólido Parenteral,5 000 UI,Caja X Vial-Es- + Disolvente - Caja X Jeringa-S- Prellenada-S-,Adjudicado otros oferentes,8.73,Pichincha , Quito,2022-08-10 08:00:00
SICM-603-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=j0jlSDihQtjCkhxKJsF1hzpSNxdB1yg0SqD2eU3_MEQ,",DCI: AMINOÁCIDOS - FORMA FARMACÉUTICA:LÍQUIDO PARENTERAL - CONCENTRACIÓN:10 % - PRESENTACIÓN COMERCIAL: FRASCO X 500 ML,Aminoácidos,,,Frasco X 500 Ml,Adjudicado oferente ganador,7.0,Pichincha , Quito,2022-08-10 08:00:00
SICM-604-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IVGYmOPKE7cETWa3LJxPD4VJVSTkkDd4DtVfcjZ1uJ8,",DCI: AMINOÁCIDOS - FORMA FARMACÉUTICA:LÍQUIDO PARENTERAL - CONCENTRACIÓN:15 % - PRESENTACIÓN COMERCIAL: FRASCO/FUNDA X 500 ML,Aminoácidos,,,Frasco/Funda X 500 Ml,Adjudicado oferente ganador,7.1306,Pichincha , Quito,2022-08-10 08:00:00
SICM-605-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tPaLpWZDvh4KHdsxWUgUDtagaQwf6Ei3G5Yp26Mmefk,","DCI: DIGOXINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN:0,25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 2 ML",Digoxina,Líquido Parenteral,,Caja X Ampolla-S- X 2 Ml,Adjudicado otros oferentes,4.3533,Pichincha , Quito,2022-08-10 08:00:00
SICM-606-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DPzp_NuXZEKzmC_6k-CT2z71-e0QOm0psubq5eh5PF4,",DCI: DOBUTAMINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLAS X 5 ML,Dobutamina,Líquido Parenteral,50 MG/ML,Caja X Ampollas X 5 Ml,Adjudicado otros oferentes,1.26081,Pichincha , Quito,2022-08-10 08:00:00
SICM-607-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=5Z2fCuenfUJAOoIiL2VG_dsxv5fRJ35Ys92-I0gC2fg,",DCI: TRINITRATO DE GLICERILO NITROGLICERINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 10 ML - CAJA X AMPOLLA-S- X 10 ML,Trinitrato De Glicerilo Nitroglicerina,Líquido Parenteral,5 MG/ML,Caja X Vial-Es- X 10 Ml - Caja X Ampolla-S- X 10 Ml,Adjudicado oferente ganador,2.42462,Pichincha , Quito,2022-08-10 08:00:00
SICM-608-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ZIHLZnXNfHjx4xSuMHp_NMBkNfZZGQrndMJxRxOgsmo,","DCI: CARVEDILOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN:6,25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Carvedilol,Sólido Oral,,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.02425,Pichincha , Quito,2022-08-10 08:00:00
SICM-612-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=hbLGv-QIreZ9UWfC-w23M5cgmqU8qymAHduH4TssqJU,",DCI: PERÓXIDO DE BENZOILO - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN:5 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G -MÍNIMO-,Peróxido De Benzoilo,Semisólido Cutáneo,,Caja X Tubo X 30 G -Mínimo-,Adjudicado oferente ganador,2.6911,Pichincha , Quito,2022-08-10 08:00:00
SICM-613-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0m6in_KYm4kq4j8YAxWwOQ3VJc2AR9fJwtHEQq0MMVk,",DCI: CLOTRIMAZOL - FORMA FARMACÉUTICA: SÓLIDO VAGINAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Clotrimazol,Sólido Vaginal,500 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.15,Pichincha , Quito,2022-08-10 08:00:00
SICM-614-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=pRZkbI-wpM_LnCLjHs98WgMjkF1rXaVwJ83JuA2ktrE,",DCI: ESTRADIOL VALERATO + NORETISTERONA ENANTATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: -5 MG + 50 MG-/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA X 1 ML + JERINGA – CAJA X JERINGA PRELLENADA X 1 ML,Estradiol Valerato + Noretisterona Enantato,Líquido Parenteral,-5 MG + 50 MG-/ML,Caja X Ampolla X 1 Ml + Jeringa – Caja X Jeringa Prellenada X 1 Ml,Adjudicado oferente ganador,0.66126,Pichincha , Quito,2022-08-10 08:00:00
SICM-615-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=75xXlMjo8Sj0WYxrLqgsFlcQeFtdEWK-4NnVoM2SFk0,","DCI: ESTRIOL - FORMA FARMACÉUTICA: SEMISÓLIDO VAGINAL - CONCENTRACIÓN:0,1 % 1 MG/G - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 15 G MÍNIMO + APLICADOR-ES-",Estriol,Semisólido Vaginal,,Caja X Tubo X 15 G Mínimo + Aplicador-Es-,Adjudicado oferente ganador,2.74424,Pichincha , Quito,2022-08-10 08:00:00
SICM-616-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sWMGm73vNlBfhKuPuA9s05wUVmm44MKty2X0vXNdrj4,",DCI: OXITOCINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 UI/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML,Oxitocina,Líquido Parenteral,10 UI/ML,Caja X Ampolla-S- X 1 Ml,Adjudicado oferente ganador,0.24933,Pichincha , Quito,2022-08-10 08:00:00
SICM-598-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ZuNydjUGlblLGEQsWb5D6mC4P6EoTCm9YMxFlxKXby0,",DCI: CLINDAMICINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 150 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 4 ML,Clindamicina,Líquido Parenteral,150 MG/ML,Caja X Ampolla-S- X 4 Ml,Adjudicado otros oferentes,0.41362,Pichincha , Quito,2022-08-10 08:00:00
SICM-559-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fmuNvQWoS41yRPe4-N9zzIgeUUy5jvVcuuLyrvwa0Y8,",DCI: SORAFENIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Sorafenib,Sólido Oral,200 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,36.3273,Pichincha , Quito,2022-08-09 08:00:00
SICM-560-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=R1aFes_P8DSzR8Gb08Zcv0MP95LBkTkfgXWdtqrLRFQ,",DCI: VEMURAFENIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 240 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Vemurafenib,Sólido Oral,240 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,43.73125,Pichincha , Quito,2022-08-09 08:00:00
SICM-564-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IKcx9XpFAUegY5p3lb0_-9KvkS83EuQIS8ZdYr2WoDo,",DCI: TOCILIZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 4 ML,Tocilizumab,Líquido Parenteral,20 MG/ML,Caja X Vial X 4 Ml,Adjudicado oferente ganador,95.3493,Pichincha , Quito,2022-08-09 08:00:00
SICM-565-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0Qzi1XaUrmximJGNEnqHXo9sS9iTMFNnj2RcjrDYemg,",DCI: TOCILIZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MG/ML -PRESENTACIÓN COMERCIAL: CAJA X VIALES X 10 ML,Tocilizumab,Líquido Parenteral,20 MG/ML -PRESENTACIÓN COMERCIAL: CAJA X VIALES X 10 ML,Caja X Viales X 10 Ml,Adjudicado oferente ganador,238.43,Pichincha , Quito,2022-08-09 08:00:00
SICM-567-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Xmmq1W-Lmn_41Z3PXOYTj0ls80lSqpKIgx10_efQRi0,",DCI: TOXINA BOTULINICA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 100 U - PRESENTACIÓN COMERCIAL: CAJA X VIAL ES,Toxina Botulinica,Sólido Parenteral,100 U,Caja X Vial Es,Adjudicado otros oferentes,130.04807,Pichincha , Quito,2022-08-09 08:00:00
SICM-568-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=O90dqglWBNRBrCS91Z45N6uUda3CFURQ8-p9dHx1H1M,",DCI: TOXINA BOTULINICA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 U - PRESENTACIÓN COMERCIAL: CAJA X VIAL ES,Toxina Botulinica,Sólido Parenteral,500 U,Caja X Vial Es,Adjudicado oferente ganador,363.88129,Pichincha , Quito,2022-08-09 08:00:00
SICM-571-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=17kL4FDKIx7pzpbf6ptwhhKxaFl-emVcj4D4W23fwlc,",DCI: ÁCIDO VALPRÓICO SAL SÓDICA - FORMA FARMACÉUTICA:LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIALES X 5 ML,Ácido Valpróico Sal Sódica,,100 MG/ML,Caja X Viales X 5 Ml,Adjudicado otros oferentes,13.43113,Pichincha , Quito,2022-08-09 08:00:00
SICM-577-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=eoqT3H3iVJ9-U_Z9AcnTfDAIUJ25q96MIs85iE64h5E,","DCI: EPINEFRINA ADRENALINA RACÉMICA - FORMA FARMACÉUTICA: LÍQUIDO PARA NEBULIZACIÓN - CONCENTRACIÓN:2,25 % 22,5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIALES X 0,5 ML",Epinefrina Adrenalina Racémica,Líquido Para Nebulización,,"Caja X Viales X 0,5 Ml",Adjudicado oferente ganador,3.7,Pichincha , Quito,2022-08-09 08:00:00
SICM-578-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=vD0_QHWHnqVL-1fJabKwfoujwHdfhqfbkirXlP0Iq_E,","DCI: FLUOROMETOLONA - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN:0,1 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO",Fluorometolona,Líquido Oftálmico,,Caja X Frasco Gotero,Adjudicado otros oferentes,2.73,Pichincha , Quito,2022-08-09 08:00:00
SICM-580-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TAolN0zm9gtxb2zKI3BzWUD1KyWz0CAFGatPMdqs3Dg,","DCI: ATROPINA - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN:0,5 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML MÍNIMO",Atropina,Líquido Oftálmico,,Caja X Frasco Gotero X 5 Ml Mínimo,Adjudicado oferente ganador,0.7271,Pichincha , Quito,2022-08-09 08:00:00
SICM-582-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NPa0B6qq4XNe-XtTiAzlvfBp7Z5fh8Nm5ctNFx6v__Y,",DCI: SUGAMMADEX - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIALES X 2 ML,Sugammadex,Líquido Parenteral,100 MG/ML,Caja X Viales X 2 Ml,Adjudicado otros oferentes,85.0,Pichincha , Quito,2022-08-09 08:00:00
SICM-584-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=CdAripsz1JOHKbEUyraXd5suK7UtVBB3owHCFnWVxUE,",DCI: DEXRAZOXANO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL ES,Dexrazoxano,Sólido Parenteral,500 MG,Caja X Vial Es,Adjudicado otros oferentes,213.0,Pichincha , Quito,2022-08-09 08:00:00
SICM-585-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=msOfI5UTkiZwdgBdyWIxAnpXghUgTLPd1A4aF_gfg1I,",DCI: BUTILESCOPOLAMINA N-BUTILBROMURO DE HIOSCINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLAS X 1 ML,Butilescopolamina N-Butilbromuro De Hioscina,Líquido Parenteral,20 MG/ML,Caja X Ampollas X 1 Ml,Adjudicado oferente ganador,0.39,Pichincha , Quito,2022-08-09 08:00:00
SICM-586-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=38Y8ja4vJYhLuaPUZ6cx_txKENQLCunZibNjTIOSYlI,",DCI: ONDANSETRÓN - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 4 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Ondansetrón,Sólido Oral,4 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.32,Pichincha , Quito,2022-08-09 08:00:00
SICM-587-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=HOjTHdSbHEEW5o4ony-pN3GJKdd2p9cb5d2ZwyYRPz8,",DCI: ONDANSETRÓN - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 8 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Ondansetrón,Sólido Oral,8 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.06,Pichincha , Quito,2022-08-09 08:00:00
SICM-530-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=nUyVvYHCiO3PGZdrWnAsJG0biHMStSttpzm_ztLTG24,",DCI: INSULINA GLARGINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 UI/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 10 ML,Insulina Glargina,Líquido Parenteral,100 UI/ML,Caja X Vial-Es- X 10 Ml,Adjudicado oferente ganador,33.86463,Pichincha , Quito,2022-08-08 08:00:00
SICM-531-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XqGuOQ0Gpn55_cMLKqS3mNn9567BLRgNA6mCsqMreoU,",DCI: COMPLEJO B: TIAMINA -VITAMINA B1- - PIRIDOXINA -VITAMINA B6- CIANOCOBALAMINA -VITAMINA B12- FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: ? 4 MG? 1 MG? 1 MCG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Complejo B,Sólido Oral,? 4 MG? 1 MG? 1 MCG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.018,Pichincha , Quito,2022-08-08 08:00:00
SICM-533-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=N3RQWxWtq9qfpTQhLDVdIehj6A9ZPwwBOpbXIc2ZsXE,",DCI: TICAGRELOR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 90 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Ticagrelor,Sólido Oral,90 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,1.1,Pichincha , Quito,2022-08-08 08:00:00
SICM-535-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=s16_UCdL_ss2UR9asHkmjuIaOPzrgc2PA3LLXHtJnOI,","DCI: AGENTES GELATINAS - FORMA FARMACÉUTICA:LÍQUIDO PARENTERAL - CONCENTRACIÓN:3,5 % - PRESENTACIÓN COMERCIAL: FRASCO/FUNDA X 500 ML",Agentes Gelatinas,,,Frasco/Funda X 500 Ml,Adjudicado oferente ganador,7.29119,Pichincha , Quito,2022-08-08 08:00:00
